TITLE     = "Surface"
VARIABLES = "X"
"cp"
ZONE T="Slice: Y=0.631667"
 STRANDID=2, SOLUTIONTIME=664.516175
 I=797, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 1.000000000E+00 2.112119198E-01
 9.956364632E-01 2.074876875E-01
 9.949748516E-01 2.069196850E-01
 9.906113744E-01 1.925310642E-01
 9.899497628E-01 1.903485209E-01
 9.855862260E-01 1.792856604E-01
 9.849246144E-01 1.776095629E-01
 9.805611372E-01 1.680296063E-01
 9.798995256E-01 1.665765792E-01
 9.755359888E-01 1.577763855E-01
 9.748743773E-01 1.564422846E-01
 9.705108404E-01 1.481651217E-01
 9.698492289E-01 1.469092369E-01
 9.654857516E-01 1.392003447E-01
 9.648241401E-01 1.380309463E-01
 9.604606032E-01 1.306380332E-01
 9.597989917E-01 1.295172125E-01
 9.554354548E-01 1.225230172E-01
 9.547738433E-01 1.214616001E-01
 9.504103661E-01 1.147701666E-01
 9.497487545E-01 1.137550399E-01
 9.453852177E-01 1.072574928E-01
 9.447236061E-01 1.062709317E-01
 9.403601289E-01 9.997633100E-02
 9.396985173E-01 9.902177751E-02
 9.353349805E-01 9.304005653E-02
 9.346733689E-01 9.213205427E-02
 9.303098321E-01 8.624984324E-02
 9.296482205E-01 8.535686880E-02
 9.252847433E-01 7.952944934E-02
 9.246231318E-01 7.864421606E-02
 9.202595949E-01 7.321260124E-02
 9.195979834E-01 7.238895446E-02
 9.152344465E-01 6.703515351E-02
 9.145728350E-01 6.622217596E-02
 9.102093577E-01 6.103844196E-02
 9.095477462E-01 6.025119126E-02
 9.051842093E-01 5.532546714E-02
 9.045225978E-01 5.457825959E-02
 9.001591206E-01 4.968149588E-02
 8.994975090E-01 4.893676564E-02
 8.951339722E-01 4.420313239E-02
 8.944723606E-01 4.348523170E-02
 8.901088238E-01 3.891634196E-02
 8.894472122E-01 3.822102398E-02
 8.850837350E-01 3.358418867E-02
 8.844221234E-01 3.288107365E-02
 8.800585866E-01 2.851018496E-02
 8.793969750E-01 2.784489654E-02
 8.750334978E-01 2.352645248E-02
 8.743718863E-01 2.287155017E-02
 8.700083494E-01 1.857652701E-02
 8.693467379E-01 1.792272367E-02
 8.649832010E-01 1.384451054E-02
 8.643215895E-01 1.322538964E-02
 8.599581122E-01 9.196616709E-03
 8.592965007E-01 8.583074436E-03
 8.549329638E-01 4.572350532E-03
 8.542713523E-01 3.964241128E-03
 8.499078155E-01 2.160769945E-04
 8.492462039E-01 -3.555305884E-04
 8.448827267E-01 -4.335997626E-03
 8.442211151E-01 -4.939826671E-03
 8.398575783E-01 -8.785665035E-03
 8.391959667E-01 -9.371540509E-03
 8.348324895E-01 -1.305765379E-02
 8.341708779E-01 -1.361695211E-02
 8.298073411E-01 -1.747551747E-02
 8.291457295E-01 -1.806319319E-02
 8.247821927E-01 -2.159190550E-02
 8.241205812E-01 -2.212669514E-02
 8.197571039E-01 -2.563570440E-02
 8.190954924E-01 -2.617071383E-02
 8.147319555E-01 -2.964027599E-02
 8.140703440E-01 -3.016829304E-02
 8.097068667E-01 -3.341427818E-02
 8.090452552E-01 -3.390888125E-02
 8.046817183E-01 -3.736439720E-02
 8.040201068E-01 -3.789093345E-02
 7.996565700E-01 -4.143453389E-02
 7.989949584E-01 -4.197163135E-02
 7.946314812E-01 -4.535287246E-02
 7.939698696E-01 -4.586823657E-02
 7.896063328E-01 -4.906571656E-02
 7.889447212E-01 -4.955078289E-02
 7.845811844E-01 -5.287229642E-02
 7.839195728E-01 -5.337925255E-02
 7.795560956E-01 -5.666668713E-02
 7.788944840E-01 -5.716445297E-02
 7.745309472E-01 -6.048411503E-02
 7.738693357E-01 -6.099190935E-02
 7.695058584E-01 -6.428795308E-02
 7.688442469E-01 -6.478682160E-02
 7.644807100E-01 -6.772605330E-02
 7.638190985E-01 -6.817533076E-02
 7.594555616E-01 -7.146234810E-02
 7.587939501E-01 -7.196227461E-02
 7.544304729E-01 -7.527630776E-02
 7.537688613E-01 -7.577926666E-02
 7.494053245E-01 -7.894121855E-02
 7.487437129E-01 -7.942354679E-02
 7.443801761E-01 -8.253130317E-02
 7.437185645E-01 -8.300290257E-02
 7.393550873E-01 -8.620885760E-02
 7.386934757E-01 -8.669932932E-02
 7.343299389E-01 -8.977189660E-02
 7.336683273E-01 -9.023692459E-02
 7.293048501E-01 -9.337121993E-02
 7.286432385E-01 -9.384996444E-02
 7.242797017E-01 -9.691205621E-02
 7.236180902E-01 -9.737719595E-02
 7.192545533E-01 -1.003764942E-01
 7.185929418E-01 -1.008323506E-01
 7.142294645E-01 -1.039687917E-01
 7.135678530E-01 -1.044468060E-01
 7.092043161E-01 -1.076707318E-01
 7.085427046E-01 -1.081583053E-01
 7.041792274E-01 -1.113465577E-01
 7.035176158E-01 -1.118352562E-01
 6.991540790E-01 -1.150029451E-01
 6.984924674E-01 -1.154841185E-01
 6.941289306E-01 -1.185864732E-01
 6.934673190E-01 -1.190580130E-01
 6.891038418E-01 -1.220497042E-01
 6.884422302E-01 -1.225061566E-01
 6.840786934E-01 -1.256825328E-01
 6.834170818E-01 -1.261629760E-01
 6.790535450E-01 -1.291874498E-01
 6.783919334E-01 -1.296507716E-01
 6.740284562E-01 -1.329353005E-01
 6.733668447E-01 -1.334336698E-01
 6.690033078E-01 -1.366855502E-01
 6.683416963E-01 -1.371790320E-01
 6.639782190E-01 -1.403361261E-01
 6.633166075E-01 -1.408198178E-01
 6.589530706E-01 -1.440570951E-01
 6.582914591E-01 -1.445459574E-01
 6.539279222E-01 -1.478138119E-01
 6.532663107E-01 -1.483122259E-01
 6.489028335E-01 -1.513878107E-01
 6.482412219E-01 -1.518566310E-01
 6.438776851E-01 -1.551964432E-01
 6.432160735E-01 -1.557011604E-01
 6.388525367E-01 -1.588915586E-01
 6.381909251E-01 -1.593801677E-01
 6.338274479E-01 -1.626441330E-01
 6.331658363E-01 -1.631391197E-01
 6.288022995E-01 -1.663848609E-01
 6.281406879E-01 -1.668775678E-01
 6.237772107E-01 -1.701991707E-01
 6.231155992E-01 -1.707069278E-01
 6.187520623E-01 -1.740781218E-01
 6.180904508E-01 -1.745879948E-01
 6.137269139E-01 -1.779836714E-01
 6.130653024E-01 -1.785004437E-01
 6.087018251E-01 -1.819387078E-01
 6.080402136E-01 -1.824625880E-01
 6.036766768E-01 -1.858038455E-01
 6.030150652E-01 -1.863086224E-01
 5.986515880E-01 -1.896430552E-01
 5.979899764E-01 -1.901528388E-01
 5.936264396E-01 -1.935157776E-01
 5.929648280E-01 -1.940276325E-01
 5.886012912E-01 -1.976314038E-01
 5.879396796E-01 -1.981761307E-01
 5.835762024E-01 -2.017105073E-01
 5.829145908E-01 -2.022504061E-01
 5.785510540E-01 -2.057435066E-01
 5.778894424E-01 -2.062749565E-01
 5.735259056E-01 -2.098379284E-01
 5.728642941E-01 -2.103766054E-01
 5.685008168E-01 -2.138914317E-01
 5.678392053E-01 -2.144282609E-01
 5.634756684E-01 -2.180108130E-01
 5.628140569E-01 -2.185586393E-01
 5.584505796E-01 -2.224083245E-01
 5.577889681E-01 -2.229888588E-01
 5.534254313E-01 -2.265935242E-01
 5.527638197E-01 -2.271429449E-01
 5.484002829E-01 -2.307273149E-01
 5.477386713E-01 -2.312755883E-01
 5.433751941E-01 -2.350142896E-01
 5.427135825E-01 -2.355781943E-01
 5.383500457E-01 -2.394004315E-01
 5.376884341E-01 -2.399815172E-01
 5.333249569E-01 -2.438202947E-01
 5.326633453E-01 -2.444069088E-01
 5.282998085E-01 -2.483214885E-01
 5.276381969E-01 -2.489157319E-01
 5.232746601E-01 -2.527796626E-01
 5.226130486E-01 -2.533637583E-01
 5.182495713E-01 -2.573094368E-01
 5.175879598E-01 -2.579112053E-01
 5.132244229E-01 -2.618559003E-01
 5.125628114E-01 -2.624593079E-01
 5.081992745E-01 -2.662893534E-01
 5.075376630E-01 -2.668666244E-01
 5.031741858E-01 -2.710060179E-01
 5.025125742E-01 -2.716348469E-01
 4.981490672E-01 -2.758229077E-01
 4.974874258E-01 -2.764618099E-01
 4.931239486E-01 -2.806604803E-01
 4.924623072E-01 -2.813002765E-01
 4.880988300E-01 -2.855997086E-01
 4.874371886E-01 -2.862485349E-01
 4.830737114E-01 -2.904595733E-01
 4.824120700E-01 -2.910992801E-01
